# 079-required-presence-scope -- QuickFIX required-set parity golden (Contract 2, T018/T019, fixpp#201)
# Generated by tools/quickfix_required_golden/main.cpp against a REAL, locally built
# QuickFIX v1.16.0. Every required_tags value below is the literal measured output of
# FIX::DataDictionary::isRequiredField(msgType, tag) -- never hand-authored.
#
# SCOPE: body-only (message-level component-AND set). isRequiredField() has NO
# header/trailer-required surface (verified against DataDictionary.cpp -- see this
# generator's main.cpp header comment); the StandardHeader/Trailer carve-out is
# pinned separately by Contract 1's census (tests/dictionary/required_scope_census_test.cpp),
# NOT by this golden. NO vlatest/Orchestra row (QuickFIX 1.16.0 cannot parse Orchestra).
#
# MANIFEST:
# quickfix_version=1.16.0
# quickfix_soname=libquickfix.so.17.0.0
# dictionary_sha1[FIX40]=78eca13d28ad68239f0d76643625c5089c31167c
# dictionary_sha1[FIX41]=afb1323653e633eadd7dbcbeaaa545dd58b35bad
# dictionary_sha1[FIX42]=cd4224dba396a5541c888dae662d0d3511ca671e
# dictionary_sha1[FIX43]=b59fa1149fba02715af13c7922a4c61b2be7f67b
# dictionary_sha1[FIX44]=ba541299b186a4fd51c3e98b12514424dfdf6746
# dictionary_sha1[FIX50]=341321604c10013757e51cb3d0cf4dd9bf17ac37
# dictionary_sha1[FIX50SP1]=03c64c1c6837bd562855afcbc4d30c2ca890c95c
# dictionary_sha1[FIX50SP2]=04a16954f51ccc2c7899d9a388f9da91b7af122c
# dictionary_sha1[FIXT11]=966193332cdccce03e27eee69c1c7609f66175df
# generator_source_hash=fd904f80a139d6309c3f286627b87eccc10039a3
# candidate_universe_hash=1aad26311c97c53a676da9e257abb24620c18de5
# golden_output_hash=45422beea72793e6e75de405be68e94f1c18d770
# golden_groups_output_hash=714923610ea55789f6085ba98a4acf29232be246 (081 T020 -- see the
#   sibling golden_groups.csv, this dict/message/group-run's per-group golden)
#
# Hash algorithm: SHA-1 (OpenSSL EVP_sha1), 40 lowercase hex chars.
# dictionary_sha1: over the raw bytes of dictionaries/<D>.xml.
# generator_source_hash: over the raw bytes of this file, main.cpp.
# candidate_universe_hash: over the concatenation, for the 9 dicts in the fixed
#   kDicts order, of the exact bytes "{dict}|{max_tag}|{msgtype1},{msgtype2},...\n"
#   (msgtypes sorted ascending, comma-separated).
# golden_output_hash: over the concatenation, for the 9 dicts in kDicts order and
#   messages in ascending msgtype order, of the exact bytes
#   "{dict}|{msg_type}|{tag1} {tag2} ...\n" (required tags ascending, space-
#   separated, empty for zero body-required tags). Computed over the OUTPUT ROWS
#   ONLY -- excludes this manifest block, so it is not self-referential.
#
dictionary,msg_type,required_tags
FIX42,S,"55 117"
FIX42,T,"60 79 160 162 163 165 214"
FIX42,V,"146 262 263 264 267"
FIX42,W,"55 268"
FIX42,X,"268"
FIX42,Y,"262"
FIX42,Z,"117 295 298"
FIX42,a,"55"
FIX42,b,"297"
FIX42,c,"320 321"
FIX42,d,"320 322 393"
FIX42,e,"55 263 324"
FIX42,f,"55"
FIX42,g,"263 335"
FIX42,h,"336 340"
FIX42,i,"117 296"
FIX42,j,"372 380"
FIX42,k,"374 391 393 394 418 419"
FIX42,l,"420"
FIX42,m,"66 422 428"
FIX43,0,""
FIX43,1,"112"
FIX43,2,"7 16"
FIX43,3,"45"
FIX43,4,"36"
FIX43,5,""
FIX43,6,"23 27 28 54"
FIX43,7,"2 4 5 53"
FIX43,8,"6 14 17 37 39 54 150 151"
FIX43,9,"11 37 39 41 434"
FIX43,A,"98 108"
FIX43,AA,"320 322 560"
FIX43,AB,"11 21 40 54 60 555"
FIX43,AC,"11 21 40 41 54 60 555"
FIX43,AD,"568 569"
FIX43,AE,"31 32 60 75 150 552 570 571"
FIX43,AF,"584 585"
FIX43,AG,"131 146 658"
FIX43,AH,"146 644"
FIX43,AI,"117"
FIX43,B,"33 148"
FIX43,C,"33 94 147 164"
FIX43,D,"11 21 40 54 60"
FIX43,E,"66 68 73 394"
FIX43,F,"11 41 54 60"
FIX43,G,"11 21 40 41 54 60"
FIX43,H,"11 54"
FIX43,J,"6 53 54 70 71 75 626"
FIX43,K,"60 66"
FIX43,L,"60 66"
FIX43,M,"66"
FIX43,N,"66 68 73 82 83 429 431"
FIX43,P,"70 75 87"
FIX43,Q,"17 37 54 127"
FIX43,R,"131 146"
FIX43,S,"117"
FIX43,T,"60 79 160 162 163 165 214"
FIX43,V,"146 262 263 264 267"
FIX43,W,"268"
FIX43,X,"268"
FIX43,Y,"262"
FIX43,Z,"117 298"
FIX43,a,""
FIX43,b,"297"
FIX43,c,"320 321"
FIX43,d,"320 322 323"
FIX43,e,"263 324"
FIX43,f,""
FIX43,g,"263 335"
FIX43,h,"336 340"
FIX43,i,"117 296"
FIX43,j,"372 380"
FIX43,k,"374 391 393 394 418 419"
FIX43,l,"420"
FIX43,m,"66 422 428"
FIX43,n,""
FIX43,o,"508 513 514"
FIX43,p,"506 508 513 514"
FIX43,q,"11 60 530"
FIX43,r,"37 530 531"
FIX43,s,"21 40 60 548 549 550 552"
FIX43,t,"21 40 60 548 549 550 551 552"
FIX43,u,"60 548 549 550 551 552"
FIX43,v,"320"
FIX43,w,"320 322 323"
FIX43,x,"320 559"
FIX43,y,"320 322 560"
FIX43,z,"320 559"
FIX44,0,""
FIX44,1,"112"
FIX44,2,"7 16"
FIX44,3,"45"
FIX44,4,"36"
FIX44,5,""
FIX44,6,"23 27 28 54"
FIX44,7,"2 4 5 53"
FIX44,8,"6 14 17 37 39 54 150 151"
FIX44,9,"11 37 39 41 434"
FIX44,A,"98 108"
FIX44,AA,"320 322 560"
FIX44,AB,"11 40 54 60 555"
FIX44,AC,"11 40 41 54 60 555"
FIX44,AD,"568 569"
FIX44,AE,"31 32 60 75 552 570 571"
FIX44,AF,"584 585"
FIX44,AG,"131 146 658"
FIX44,AH,"146 644"
FIX44,AI,"117"
FIX44,AJ,"693 694"
FIX44,AK,"6 54 60 75 79 80 118 381 664 665 666 773 862"
FIX44,AL,"1 60 581 709 710 712 715"
FIX44,AM,"1 60 581 709 712 713 715 721 722"
FIX44,AN,"1 60 581 710 715 724"
FIX44,AO,"1 581 721 728 729"
FIX44,AP,"1 581 715 721 728 730 731 734"
FIX44,AQ,"568 569 749 750"
FIX44,AR,"150 571"
FIX44,AS,"6 53 54 71 75 87 755 794 857"
FIX44,AT,"60 70 87 755"
FIX44,AU,"60 75 664 940"
FIX44,AV,"60 791"
FIX44,AW,"581 715 716 717 730 731 732 744 746 747 833"
FIX44,AX,"60 894 895"
FIX44,AY,"60 895 902 903"
FIX44,AZ,"60 895 902 904 905"
FIX44,B,"33 148"
FIX44,BA,"908 910"
FIX44,BB,""
FIX44,BC,"933 935"
FIX44,BD,"932 936 937"
FIX44,BE,"553 923 924"
FIX44,BF,"553 923"
FIX44,BG,"909 945"
FIX44,BH,"60 773 859"
FIX44,C,"33 94 147 164"
FIX44,D,"11 40 54 60"
FIX44,E,"66 68 73 394"
FIX44,F,"11 41 54 60"
FIX44,G,"11 40 41 54 60"
FIX44,H,"11 54"
FIX44,J,"6 53 54 70 71 75 626 857"
FIX44,K,"60 66"
FIX44,L,"60 66"
FIX44,M,"66"
FIX44,N,"66 68 73 82 83 429 431"
FIX44,P,"60 70 87"
FIX44,Q,"17 37 54 127"
FIX44,R,"131 146"
FIX44,S,"117"
FIX44,T,"60 160 777"
FIX44,V,"146 262 263 264 267"
FIX44,W,"268"
FIX44,X,"268"
FIX44,Y,"262"
FIX44,Z,"117 298"
FIX44,a,""
FIX44,b,"297"
FIX44,c,"320 321"
FIX44,d,"320 322 323"
FIX44,e,"263 324"
FIX44,f,""
FIX44,g,"263 335"
FIX44,h,"336 340"
FIX44,i,"117 296"
FIX44,j,"372 380"
FIX44,k,"374 391 393 394 418 419"
FIX44,l,"420"
FIX44,m,"66 422 428"
FIX44,n,""
FIX44,o,"508 513 514"
FIX44,p,"506 508 513 514"
FIX44,q,"11 60 530"
FIX44,r,"37 530 531"
FIX44,s,"40 60 548 549 550 552"
FIX44,t,"40 60 548 549 550 551 552"
FIX44,u,"60 548 549 550 551 552"
FIX44,v,"320"
FIX44,w,"320 322 323"
FIX44,x,"320 559"
FIX44,y,"320 322 560"
FIX44,z,"320 559"
FIX50,6,"23 27 28 54"
FIX50,7,"2 4 5 53"
FIX50,8,"14 17 37 39 54 150 151"
FIX50,9,"11 37 39 41 434"
FIX50,AA,"320 322 560"
FIX50,AB,"11 40 54 60 555"
FIX50,AC,"11 40 41 54 60 555"
FIX50,AD,"568 569"
FIX50,AE,"31 32 75 552"
FIX50,AF,"584 585"
FIX50,AG,"131 146 658"
FIX50,AH,"146 644"
FIX50,AI,"117"
FIX50,AJ,"693 694"
FIX50,AK,"6 54 60 75 79 80 118 381 664 665 666 773 862"
FIX50,AL,"709 712 715"
FIX50,AM,"709 712 715 721 722"
FIX50,AN,"60 710 715 724"
FIX50,AO,"721 728 729"
FIX50,AP,"715 721"
FIX50,AQ,"568 569 749 750"
FIX50,AR,""
FIX50,AS,"6 53 54 71 75 87 755 794"
FIX50,AT,"70 755"
FIX50,AU,"60 75 664 940"
FIX50,AV,"60 791"
FIX50,AW,"715 833"
FIX50,AX,"60 894 895"
FIX50,AY,"60 895 902 903"
FIX50,AZ,"60 904 905"
FIX50,B,"33 148"
FIX50,BA,"908 910"
FIX50,BB,""
FIX50,BC,"933 935"
FIX50,BD,"932 936 937"
FIX50,BE,"553 923 924"
FIX50,BF,"553 923"
FIX50,BG,"909 945"
FIX50,BH,"60 773 859"
FIX50,BI,"263 335"
FIX50,BJ,"386"
FIX50,BK,""
FIX50,BL,"715 721"
FIX50,BM,"53 54 70 71 75 626"
FIX50,BN,"17 37 54 1036"
FIX50,BO,"715 977"
FIX50,BP,""
FIX50,C,"33 94 147 164"
FIX50,D,"11 40 54 60"
FIX50,E,"66 68 73 394"
FIX50,F,"11 41 54 60"
FIX50,G,"11 40 41 54 60"
FIX50,H,"11 54"
FIX50,J,"53 54 70 71 75 626"
FIX50,K,"60 66"
FIX50,L,"60 66"
FIX50,M,"66"
FIX50,N,"66 68 73 82 83 429 431"
FIX50,P,"70 87"
FIX50,Q,"17 37 54 127"
FIX50,R,"131 146"
FIX50,S,"117"
FIX50,T,"60 160 777"
FIX50,V,"146 262 263 264 267"
FIX50,W,"268"
FIX50,X,"268"
FIX50,Y,"262"
FIX50,Z,"298"
FIX50,a,""
FIX50,b,"297"
FIX50,c,"320 321"
FIX50,d,""
FIX50,e,"263 324"
FIX50,f,""
FIX50,g,"263 335"
FIX50,h,"336 340"
FIX50,i,"117 296"
FIX50,j,"372 380"
FIX50,k,"374 391 393 394 418 419"
FIX50,l,"420"
FIX50,m,"66 422 428"
FIX50,o,"508 513 514"
FIX50,p,"506 508 513 514"
FIX50,q,"11 60 530"
FIX50,r,"37 530 531"
FIX50,s,"40 60 548 549 550 552"
FIX50,t,"40 60 548 549 550 551 552"
FIX50,u,"60 548 549 550 551 552"
FIX50,v,"320"
FIX50,w,"320 322 323"
FIX50,x,"320 559"
FIX50,y,""
FIX50,z,"320 559"
FIX50SP1,6,"23 27 28 54"
FIX50SP1,7,"2 4 5 53"
FIX50SP1,8,"14 17 37 39 54 150 151"
FIX50SP1,9,"11 37 39 434"
FIX50SP1,AA,"322"
FIX50SP1,AB,"11 40 54 60"
FIX50SP1,AC,"40 54 60"
FIX50SP1,AD,"568 569"
FIX50SP1,AE,"31 32 552"
FIX50SP1,AF,"584 585"
FIX50SP1,AG,"131 146 658"
FIX50SP1,AH,"146 644"
FIX50SP1,AI,""
FIX50SP1,AJ,"693 694"
FIX50SP1,AK,"6 54 60 75 79 80 118 381 664 665 666 773 862"
FIX50SP1,AL,"709 712 715"
FIX50SP1,AM,"709 712 715 721 722"
FIX50SP1,AN,"60 710 715 724"
FIX50SP1,AO,"721 728 729"
FIX50SP1,AP,"715 721"
FIX50SP1,AQ,"568 569 749 750"
FIX50SP1,AR,""
FIX50SP1,AS,"6 53 54 71 75 87 755 794"
FIX50SP1,AT,"70 755"
FIX50SP1,AU,"60 75 664 940"
FIX50SP1,AV,"60 791"
FIX50SP1,AW,"715 833"
FIX50SP1,AX,"60 894 895"
FIX50SP1,AY,"60 895 902 903"
FIX50SP1,AZ,"60 904 905"
FIX50SP1,B,"33 148"
FIX50SP1,BA,"908 910"
FIX50SP1,BB,""
FIX50SP1,BC,"933 935"
FIX50SP1,BD,"932 936 937"
FIX50SP1,BE,"553 923 924"
FIX50SP1,BF,"553 923"
FIX50SP1,BG,"909 945"
FIX50SP1,BH,"60 773 859"
FIX50SP1,BI,"263 335"
FIX50SP1,BJ,"386"
FIX50SP1,BK,""
FIX50SP1,BL,"715 721"
FIX50SP1,BM,"53 54 70 71 75 626"
FIX50SP1,BN,"17 37 54 1036"
FIX50SP1,BO,"715 977"
FIX50SP1,BP,""
FIX50SP1,BQ,"1159 1160"
FIX50SP1,BR,""
FIX50SP1,BS,"386"
FIX50SP1,BT,"263 1393"
FIX50SP1,BU,"1301 1394"
FIX50SP1,BV,"1301 1394"
FIX50SP1,BW,"1346 1347"
FIX50SP1,BX,"1353"
FIX50SP1,BY,"1356 1426"
FIX50SP1,BZ,"1369 1373 1374 1375"
FIX50SP1,C,"33 94 147 164"
FIX50SP1,CA,"11 60 1373 1374"
FIX50SP1,CB,"926"
FIX50SP1,D,"11 40 54 60"
FIX50SP1,E,"66 68 73 394"
FIX50SP1,F,"11 54 60"
FIX50SP1,G,"11 40 54 60"
FIX50SP1,H,"54"
FIX50SP1,J,"53 54 70 71 75 626"
FIX50SP1,K,"60 66"
FIX50SP1,L,"60 66"
FIX50SP1,M,"66"
FIX50SP1,N,"66 68 73 82 83 429 431"
FIX50SP1,P,"70 87"
FIX50SP1,Q,"17 37 54 127"
FIX50SP1,R,"131 146"
FIX50SP1,S,"117"
FIX50SP1,T,"60 160 777"
FIX50SP1,V,"146 262 263 264 267"
FIX50SP1,W,"268"
FIX50SP1,X,"268"
FIX50SP1,Y,"262"
FIX50SP1,Z,"298"
FIX50SP1,a,""
FIX50SP1,b,"297"
FIX50SP1,c,"320 321"
FIX50SP1,d,""
FIX50SP1,e,"263 324"
FIX50SP1,f,""
FIX50SP1,g,"263 335"
FIX50SP1,h,"336 340"
FIX50SP1,i,"117 296"
FIX50SP1,j,"372 380"
FIX50SP1,k,"374 391 393 394 418 419"
FIX50SP1,l,"420"
FIX50SP1,m,"66 422 428"
FIX50SP1,o,"508 513 514"
FIX50SP1,p,"506 508 513 514"
FIX50SP1,q,"11 60 530"
FIX50SP1,r,"37 530 531 1369"
FIX50SP1,s,"40 60 548 549 550 552"
FIX50SP1,t,"40 60 548 549 550 551 552"
FIX50SP1,u,"60 548 549 550 551 552"
FIX50SP1,v,"320"
FIX50SP1,w,"320 322 323"
FIX50SP1,x,"320 559"
FIX50SP1,y,""
FIX50SP1,z,"320 559"
FIX50SP2,6,"23 27 28 54"
FIX50SP2,7,"2 4 5 53"
FIX50SP2,8,"14 17 37 39 54 150 151"
FIX50SP2,9,"11 37 39 434"
FIX50SP2,AA,""
FIX50SP2,AB,"11 40 54 60"
FIX50SP2,AC,"40 54 60"
FIX50SP2,AD,"568 569"
FIX50SP2,AE,""
FIX50SP2,AF,"584 585"
FIX50SP2,AG,"131 658"
FIX50SP2,AH,"644"
FIX50SP2,AI,""
FIX50SP2,AJ,"693 694"
FIX50SP2,AK,"6 54 60 75 79 80 118 381 664 665 666 773"
FIX50SP2,AL,"709 712 715"
FIX50SP2,AM,"709 712 715 721"
FIX50SP2,AN,"60 710 715 724"
FIX50SP2,AO,"721 728 729"
FIX50SP2,AP,"715 721"
FIX50SP2,AQ,"568 569 749 750"
FIX50SP2,AR,""
FIX50SP2,AS,"6 53 54 71 75 87 755 794"
FIX50SP2,AT,"755"
FIX50SP2,AU,"60 75 664 940"
FIX50SP2,AV,"60 791"
FIX50SP2,AW,"715 833"
FIX50SP2,AX,"60 894 895"
FIX50SP2,AY,"60 895 902 903"
FIX50SP2,AZ,"60 904 905"
FIX50SP2,B,"148"
FIX50SP2,BA,"908 910"
FIX50SP2,BB,"909"
FIX50SP2,BC,"933 935"
FIX50SP2,BD,"932 937"
FIX50SP2,BE,"553 923 924"
FIX50SP2,BF,"553 923"
FIX50SP2,BG,"909 945"
FIX50SP2,BH,"60 773 859"
FIX50SP2,BI,"263 335"
FIX50SP2,BJ,""
FIX50SP2,BK,""
FIX50SP2,BL,"715 721"
FIX50SP2,BM,"54 70 71 75 626"
FIX50SP2,BN,"17 37 54 1036"
FIX50SP2,BO,"715 977"
FIX50SP2,BP,""
FIX50SP2,BQ,"1159 1160"
FIX50SP2,BR,""
FIX50SP2,BS,""
FIX50SP2,BT,"263 1393"
FIX50SP2,BU,"1301 1394"
FIX50SP2,BV,"1301 1394"
FIX50SP2,BW,"1346 1347"
FIX50SP2,BX,"1353"
FIX50SP2,BY,"1356 1426"
FIX50SP2,BZ,"1369 1373 1374 1375"
FIX50SP2,C,"94 147 164"
FIX50SP2,CA,"11 60 1373 1374"
FIX50SP2,CB,"926"
FIX50SP2,CC,"1497 1498"
FIX50SP2,CD,"1501"
FIX50SP2,CE,"1501 1503"
FIX50SP2,CF,"1505"
FIX50SP2,CG,"1510"
FIX50SP2,CH,"1635"
FIX50SP2,CI,"1635 1640"
FIX50SP2,CJ,"1638 1642"
FIX50SP2,CK,"1510"
FIX50SP2,CL,"1666"
FIX50SP2,CM,"1667"
FIX50SP2,CN,"263 324"
FIX50SP2,CO,""
FIX50SP2,CQ,"715 1699"
FIX50SP2,CR,"1667"
FIX50SP2,CS,"1666"
FIX50SP2,CT,"1666 1762"
FIX50SP2,CU,""
FIX50SP2,CV,"1771"
FIX50SP2,CW,"1865"
FIX50SP2,CX,"1505"
FIX50SP2,CY,"1505 1878"
FIX50SP2,CZ,"1771"
FIX50SP2,D,"11 40 54 60"
FIX50SP2,DA,"1770"
FIX50SP2,DB,"1770 1882"
FIX50SP2,DC,"880"
FIX50SP2,DD,"880 1896"
FIX50SP2,DE,"1667 2316"
FIX50SP2,DF,"2320 2321"
FIX50SP2,DG,"2320 2321 2325"
FIX50SP2,DH,"2328 2329"
FIX50SP2,DI,"2329 2331 2332"
FIX50SP2,DJ,"2423"
FIX50SP2,DK,"1815 2425"
FIX50SP2,DL,"2436"
FIX50SP2,DM,"2436"
FIX50SP2,DN,"2437 2438 2439 2442 2444"
FIX50SP2,DO,"263 2452"
FIX50SP2,DP,"2453"
FIX50SP2,DQ,"908 2488"
FIX50SP2,DR,"2535 2536"
FIX50SP2,DS,"2672"
FIX50SP2,DT,"2672"
FIX50SP2,DU,""
FIX50SP2,DV,"2758 2768"
FIX50SP2,DW,"54 2786 2788"
FIX50SP2,DX,"2790 2792"
FIX50SP2,DY,"60 2811 2812 2816 2817 2819 2824 2825 2826"
FIX50SP2,DZ,"2812 2813"
FIX50SP2,E,"66 68 394"
FIX50SP2,EA,"60 2799 2804 2816 2817 2819 2824 2825 2826"
FIX50SP2,EB,"2799 2806"
FIX50SP2,F,"11 54 60"
FIX50SP2,G,"11 40 54 60"
FIX50SP2,H,"54"
FIX50SP2,J,"53 54 70 71 75 626"
FIX50SP2,K,"60 66"
FIX50SP2,L,"60 66"
FIX50SP2,M,"66"
FIX50SP2,N,"66 68 82 83 429 431"
FIX50SP2,P,"70 87"
FIX50SP2,Q,"17 37 54 127"
FIX50SP2,R,"131"
FIX50SP2,S,"117"
FIX50SP2,T,"60 160 777"
FIX50SP2,V,"262 263 264"
FIX50SP2,W,"779"
FIX50SP2,X,""
FIX50SP2,Y,"262"
FIX50SP2,Z,"298"
FIX50SP2,a,""
FIX50SP2,b,"297"
FIX50SP2,c,"320 321"
FIX50SP2,d,""
FIX50SP2,e,"263 324"
FIX50SP2,f,""
FIX50SP2,g,"263 335"
FIX50SP2,h,"336 340"
FIX50SP2,i,"117"
FIX50SP2,j,"372 380"
FIX50SP2,k,"374 391 393 394 418 419"
FIX50SP2,l,""
FIX50SP2,m,"66 422"
FIX50SP2,o,"508 513 514"
FIX50SP2,p,"506 508 513 514"
FIX50SP2,q,"11 60 530"
FIX50SP2,r,"37 530 531 1369"
FIX50SP2,s,"40 60 548 549 550"
FIX50SP2,t,"40 60 548 549 550 551"
FIX50SP2,u,"60 548 549 550 551"
FIX50SP2,v,"320"
FIX50SP2,w,"320 322 323"
FIX50SP2,x,"320 559"
FIX50SP2,y,""
FIX50SP2,z,"320 559"
FIXT11,0,""
FIXT11,1,"112"
FIXT11,2,"7 16"
FIXT11,3,"45"
FIXT11,4,"36"
FIXT11,5,""
FIXT11,A,"98 108 1137"
FIXT11,n,""
